yintercept	key	showSelected2
10.70538475	Afghanistan	Afghanistan
14.75971985	Albania	Albania
15.30220699	Algeria	Algeria
12.1676	Angola	Angola
15.51232774	Antigua and Barbuda	Antigua and Barbuda
18.36116028	Argentina	Argentina
14.07796955	Armenia	Armenia
12.63204002	Azerbaijan	Azerbaijan
11.89137971	Bahamas	Bahamas
16.39122709	Bahrain	Bahrain
11.94633007	Bangladesh	Bangladesh
16.53069367	Barbados	Barbados
14.26484013	Belarus	Belarus
13.16993046	Belize	Belize
10.30257988	Benin	Benin
13.06449041	Bhutan	Bhutan
14.79598497	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)
13.25508976	Bosnia and Herzegovina	Bosnia and Herzegovina
11.44906858	Botswana	Botswana
15.44596004	Brazil	Brazil
13.69861984	Brunei Darussalam	Brunei Darussalam
8.777890205	Burkina Faso	Burkina Faso
9.966378953	Burundi	Burundi
11.53066323	Cabo Verde	Cabo Verde
11.56094805	Cambodia	Cambodia
13.38097793	Cameroon	Cameroon
7.285887393	Central African Republic	Central African Republic
8.185526568	Chad	Chad
16.34049988	Chile	Chile
15.21793605	China	China
14.3924799	Colombia	Colombia
13.03771042	Comoros	Comoros
12.41647044	Congo	Congo
9.579486913	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)
16.09200378	Costa Rica	Costa Rica
10.10165024	Côte d'Ivoire	Côte d'Ivoire
14.42603016	Cuba	Cuba
8.028374362	Djibouti	Djibouti
13.55048385	Dominica	Dominica
14.37125969	Dominican Republic	Dominican Republic
14.86483955	Ecuador	Ecuador
12.91180992	Egypt	Egypt
11.9099355	El Salvador	El Salvador
12.13132742	Equatorial Guinea	Equatorial Guinea
7.318835512	Eritrea	Eritrea
14.92692756	Eswatini (Kingdom of)	Eswatini (Kingdom of)
9.938743514	Ethiopia	Ethiopia
13.7618188	Fiji	Fiji
12.43426472	Gabon	Gabon
8.977899686	Gambia	Gambia
16.27112961	Georgia	Georgia
11.42975998	Ghana	Ghana
16.58226156	Grenada	Grenada
10.76720388	Guatemala	Guatemala
10.20014763	Guinea	Guinea
10.5316806	Guinea-Bissau	Guinea-Bissau
13.02205765	Guyana	Guyana
11.13756869	Haiti	Haiti
9.961707633	Honduras	Honduras
11.72447014	India	India
13.97573724	Indonesia	Indonesia
14.11717033	Iran (Islamic Republic of)	Iran (Islamic Republic of)
12.22275571	Iraq	Iraq
12.45977059	Jamaica	Jamaica
12.62659427	Jordan	Jordan
14.81626987	Kazakhstan	Kazakhstan
11.38448201	Kenya	Kenya
11.80302	Kiribati	Kiribati
15.6911416	Kuwait	Kuwait
12.63446045	Kyrgyzstan	Kyrgyzstan
10.18749046	Lao People's Democratic Republic	Lao People's Democratic Republic
12.05109224	Lebanon	Lebanon
11.07051125	Lesotho	Lesotho
10.46585369	Liberia	Liberia
13.977117	Libya	Libya
9.213435879	Madagascar	Madagascar
11.50487088	Malawi	Malawi
12.95814991	Malaysia	Malaysia
12.17795095	Maldives	Maldives
7.037249603	Mali	Mali
15.8503933	Marshall Islands	Marshall Islands
8.051850319	Mauritania	Mauritania
14.61009979	Mauritius	Mauritius
14.82310009	Mexico	Mexico
12.615048	Micronesia (Federated States of)	Micronesia (Federated States of)
14.53956985	Moldova (Republic of)	Moldova (Republic of)
14.51719515	Mongolia	Mongolia
15.20345974	Montenegro	Montenegro
13.92945957	Morocco	Morocco
10.72532345	Mozambique	Mozambique
12.06090998	Myanmar	Myanmar
11.75997928	Namibia	Namibia
12.56089218	Nauru	Nauru
12.64451981	Nepal	Nepal
12.58347787	Nicaragua	Nicaragua
7.186131428	Niger	Niger
10.32213749	Nigeria	Nigeria
12.81177998	North Macedonia	North Macedonia
13.24143028	Oman	Oman
7.89510849	Pakistan	Pakistan
17.21987569	Palau	Palau
13.24273968	Palestine, State of	Palestine, State of
13.21381473	Panama	Panama
11.12736798	Papua New Guinea	Papua New Guinea
13.91056957	Paraguay	Paraguay
14.80487907	Peru	Peru
12.78335953	Philippines	Philippines
13.26426983	Qatar	Qatar
11.03049342	Rwanda	Rwanda
18.40703011	Saint Kitts and Nevis	Saint Kitts and Nevis
12.68871975	Saint Lucia	Saint Lucia
16.2530213	Saint Vincent and the Grenadines	Saint Vincent and the Grenadines
12.4364	Samoa	Samoa
12.6637182	Sao Tome and Principe	Sao Tome and Principe
15.17204484	Saudi Arabia	Saudi Arabia
9.053489685	Senegal	Senegal
14.48388004	Serbia	Serbia
13.29603958	Seychelles	Seychelles
9.016348244	Sierra Leone	Sierra Leone
16.78735924	Singapore	Singapore
